,decimalLatitude,decimalLongitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Carex_corynoidea|NZ?|spm00005087|Uncinia,-40.8288413,173.2029729,99.82857143,87.87142857,45.84285714,3490.285714,200.7142857,10.78571429,189.9285714,70.34285714,130.8857143,143.8142857,53.85714286,2120.414286,220.8,118.1571429,17.08571429,634.3142857,426.1142857,434.2857143,607.4428571
Carex_coulteri|MXC|spm00000268|Longicaules,19.44420196,-99.2565074,140.1666667,161.7777778,68.88888889,1850.333333,249.7777778,16.33333333,233.4444444,154.8333333,114.6111111,160.5,113.4444444,898.8888889,186.2222222,7.666666667,91.94444444,523.3333333,29.38888889,259.5555556,32.22222222
Carex_crawei|NFL|spm00001471|Granulares,44.19044356,-89.73849488,67.29032258,112.5806452,27.51612903,10079.96774,269.2903226,-132.1935484,401.483871,130.0967742,-32.19354839,191.8709677,-67.12903226,743.483871,88.61290323,37.87096774,31.48387097,246.3548387,125.1612903,220.7741935,152.1290323
Carex_crawfordii|ILL|spm00002161|Ovales,49.54807533,-88.17184384,26.01978417,108.2392086,25.69244604,10660.48022,232.4964029,-185.8345324,418.3309353,110.1510791,-46.8057554,157.1996403,-116.8884892,869.5251799,102.3776978,47.3705036,28.37769784,289.0143885,155.2769784,253.4190647,195.1690647
Carex_crebra|CHT|spm00003392|Clandestinae,32.13273354,100.8337321,29.04166667,138.2083333,41.125,6763.291667,174.0833333,-160.4583333,334.5416667,108.75,-60.79166667,110.0833333,-63.20833333,638,137.5416667,3.041666667,92.66666667,371.5,13.04166667,369.625,13.16666667
Carex_crebriflora|NA|spm00001043|Laxiflorae,31.93677718,-86.70067347,179.3783784,130.4324324,41.78378378,6665.756757,327.8918919,17.51351351,310.3783784,154.7297297,194.8378378,261.2702703,90.02702703,1417.054054,167.4324324,78.54054054,22.37837838,448.5405405,265.8108108,377.2702703,374.8918919
Carex_cretica|KRI|spm00004382|Sylvaticae,32.048799,23.70055433,185.3333333,97.66666667,36.33333333,5690.333333,315.3333333,61.33333333,254,117.3333333,205,255.6666667,112,471.3333333,95.33333333,1.333333333,56.33333333,251.3333333,6,6,221.6666667
Carex_crinita|QUE|spm00005233|Phacocystis,42.1672815,-76.54917634,86.32483221,111.0697987,29.53288591,9164.786577,272.7154362,-100.052349,372.7677852,130.1181208,20.05369128,200.4362416,-36.0442953,1089.381208,113.6724832,68.20939597,15.50872483,320.5167785,223.3946309,287.8026846,249.6026846
Carex_crispa|NA|spm00004422|Uncinia,-42.57763123,171.0504495,87.8125,88.125,46.1875,3441,189.5,-0.25,189.75,66.25,86.8125,131.4375,42.1875,2849,291.25,160,16.25,840.25,561,586.1875,789.75
Carex_cristatella|KTY|spm00000800|Ovales,42.87229815,-83.75452407,82.01675978,110.7513966,27.65083799,9927.139665,279.1396648,-115.4050279,394.5446927,176.1675978,-39.51675978,204.8212291,-51.51117318,908.3547486,101.0139665,46.98882682,24.27094972,285.1284916,158.7765363,274.0586592,166.7653631
Carex_cruenta|EHM|spm00003357|Aulocystis,32.59917035,83.83489456,13.07017544,111.3508772,34.01754386,7606.824561,168.2280702,-159.4210526,327.6491228,39.31578947,-41.92982456,105.5263158,-88.54385965,560.7017544,104.8245614,9.614035088,69.45614035,274.9824561,42.52631579,234.2105263,79.68421053
Carex_cryptolepis|ILL|spm00001730|Ceratocystis,45.50646935,-78.11323062,49.93965517,106.3017241,26.04310345,10183.81897,248.3534483,-153.5431034,401.8965517,117.5172414,-34.51724138,174.8965517,-87.10344828,950.4741379,101.0172414,57.20689655,18.20689655,286.887931,185.2413793,260.7586207,212.0862069
Carex_cumberlandensis|ARK|spm00000817|Careyanae,36.4912593,-89.2516692,135.5,134.4,35.5,8471.5,318.4,-54.4,372.8,122.6,67.6,240.4,20.5,1226.5,131.3,70.8,17.3,365.9,246.9,295.3,284.3
Carex_cumulata|ILL|spm00000871|Ovales,44.73737183,-72.4020638,61.92592593,102.3240741,27.09259259,9301.37037,247.3611111,-123.9259259,371.287037,59.36111111,33.53703704,176.9907407,-62.01851852,1086.722222,116.5277778,70.23148148,15.36111111,327.9166667,223.9166667,260.2685185,279.0648148
Carex_curaica|TVA|spm00002340|Holarrhenae,42.57819442,87.07018517,-48.91666667,116.6666667,25.75,11382.75,170.5,-272.9166667,443.4166667,67.25,-143.9166667,90.58333333,-201.9166667,275.9166667,58.33333333,5.083333333,68.91666667,151.1666667,20.16666667,137.5,27.83333333
Carex_curatorum|NA|spm00002016|Scirpinae,37.64148625,-111.2231278,105.25,153.75,38,8618.5,320.875,-80.25,401.125,124.875,125.125,217.75,-3.625,280.75,33.5,10.375,29,92.125,44,71.375,72.5
Carex_curticeps|EHM|spm00005191|Kobresia,27.367222,88.710556,40,122,45,5346,152,-117,269,105,-21,105,-31,778,165,4,83,435,23,435,34
Carex_curvula|FRA|spm00005184|Curvulae,44.2845101,4.891219088,34.95719844,77.19649805,31.96498054,5641.052529,165.2431907,-72.01750973,237.2607004,39.04280156,57.34241245,108.6400778,-33.64007782,1272.914397,134.6070039,80.62256809,15.19455253,373.6731518,269.5214008,317.459144,299.770428
Carex_cusickii|BRC|spm00002004|Heleoglochin,41.39251864,-121.438419,90.77692308,127.5384615,47.03846154,5150.830769,248.0307692,-25.84615385,273.8769231,32.99230769,156.6461538,158.4307692,29.15384615,1050.453846,181.0307692,12.65384615,69.5,503.5384615,58.55384615,63.86153846,484.8846154
Carex_cyanea|NZ?|spm00005097|Uncinia,-41.65774315,173.0498446,111.9722222,88.05555556,47,3449.694444,209.4166667,22.47222222,186.9444444,79.5,147.7222222,154.8888889,65.77777778,1237.861111,143.5555556,67.02777778,22.19444444,400.6111111,236.0277778,257.0277778,376.9166667
Carex_daltonii|EHM|spm00005702|Decorae,27.483818,89.548745,68,122.5,45,5306.5,177.5,-91,268.5,131,5.5,131,-4,1045,235.5,3,91,626.5,20,626.5,25
Carex_darwinii|CLS|spm00000571|Phacocystis,-48.614,-72.104,64.66666667,82.44444444,47.77777778,3245,157.7777778,-12.44444444,170.2222222,51.66666667,82.33333333,105,21.88888889,1466.888889,168.6666667,85.44444444,25.44444444,474.7777778,287.4444444,320,426
Carex_dasycarpa|GEO|spm00000873|Hallerianae,29.75194967,-82.89263853,203.9444444,125.8888889,46.30555556,5378.388889,328.1944444,58.77777778,269.4166667,263.7777778,167.75,268.2777778,131.5555556,1340.916667,185.6944444,60.88888889,37.02777778,512.0555556,210.8055556,507.5,274.8888889
Carex_davalliana|AUT|spm00002350|Physoglochin,47.57400984,8.77725346,73.63768513,86.47120132,32.34777839,6371.887274,215.9840922,-47.32940208,263.3134942,128.3763028,30.33461327,154.305266,-8.873560066,942.3406473,110.0156336,55.46873286,23.02166758,311.3606692,182.1404279,295.4602304,201.4736698
Carex_davidii|CHN|spm00000040|Mitratae,29.25770625,105.8086545,134.75,73.5,26.75,6846.75,272.5,2.5,270,205,42.75,219.75,42.75,1126,177.25,18,64.5,509,59.5,489.5,59.5
Carex_davisii|DEL|spm00000858|Hymenochlaenae,39.24705263,-90.51648964,120,120.9557522,30.36725664,9479.747788,312.8982301,-79.21238938,392.1106195,195.340708,1.60619469,237.699115,-8.026548673,998.2256637,123.0884956,41.2079646,31.98230088,334.800885,143.8893805,308.7920354,145.5442478
Carex_davyi|CAL|spm00001459|Ovales,38.97495803,-120.115979,52.55882353,141.8823529,43.94117647,6195.588235,236.3529412,-82,318.3529412,-10.61764706,134.5294118,135.5294118,-18.44117647,913.9411765,154.8823529,12.70588235,67.52941176,427.0588235,52.64705882,57.44117647,421.4117647
Carex_deasyi|EHM|spm00005198|Kobresia,33.9123013,79.57293858,-29.64723926,116.6104294,32.14723926,8391.763804,147.2576687,-213.196319,360.4539877,39.57361963,-74.41411043,75.03680982,-140.0122699,287.5122699,55.83128834,5.610429448,60.03067485,142.4110429,25.20858896,116.9355828,44.7607362
Carex_debilis|OKL|spm00000863|Hymenochlaenae,41.09332351,-75.90645665,93.42462845,112.9129512,31.25477707,8736.660297,273.0721868,-88.55626327,361.6284501,125.1719745,42.25053079,202.2760085,-23.15923567,1179.921444,123.0764331,75.76857749,14.54140127,345.4161359,245.7239915,315.7600849,278.1061571
Carex_decidua|CLS|spm00000570|Phacocystis,-40.94685013,-68.55405258,80.29166667,97.04166667,52.41666667,3302.916667,180.7083333,-6.5,187.2083333,75.70833333,83.75,121.0416667,36.79166667,892.125,117.5,42.20833333,33.125,313.7083333,139.25,208.75,212.625
Carex_decomposita|DEL|spm00000836|Heleoglochin,34.74350695,-88.14484109,157.375,124.984375,36.828125,7696.203125,323.28125,-15.046875,338.328125,181.203125,132.984375,252.984375,54.1875,1248.65625,133.59375,72.03125,17.421875,370.203125,246.375,312.734375,308.109375
Carex_decurtata|NA|spm00004414|Echinochlaenae,-43.95468037,170.3632222,72.77777778,102.2222222,44.72222222,4278.055556,193.8333333,-31.77777778,225.6111111,56.05555556,99.66666667,125.7777778,14.88888889,1498.388889,146.1111111,84.66666667,11.88888889,413.9444444,330.1666667,343.7222222,371.2777778
Carex_delicata|TZK|spm00003358|Chlorostachyae,49.17057667,94.96205,-35.66666667,121.3333333,25.66666667,12761.66667,195,-273.6666667,468.6666667,122,-192,122,-205.3333333,271.6666667,68,3.666666667,86.33333333,166.3333333,13.33333333,166.3333333,16
Carex_demissa|NSC|spm00001948|Ceratocystis,56.13987664,3.870775538,73.38510697,66.11940817,31.104404,5299.595721,189.0217422,-24.10377883,213.125521,81.54695749,58.57863295,142.9232426,8.007641011,1038.282995,119.4077522,56.01021117,23.3377327,339.0806474,180.7415254,239.1813004,280.336274
Carex_densa|ORE|spm00001669|Multiflorae,39.13194114,-121.9337168,130.1325758,137.0378788,49.18181818,5076.073864,291.342803,11.81628788,279.5265152,71.81818182,193.7935606,196.5473485,69.09469697,927.6193182,179.4640152,3.850378788,81.86363636,480.6306818,24.32575758,29.99810606,469.5037879
Carex_depauperata|YUG|spm00000574|Depauperatae,47.936279,7.648820276,97.89655172,84.4137931,34.93103448,5630.068966,230.6551724,-10.48275862,241.137931,77.44827586,111.6896552,170.4482759,26.75862069,788.2758621,89.93103448,45.37931034,21.48275862,252.137931,148.862069,177.6551724,213.3793103
Carex_deweyana|WIS|spm00002359|Deweyanae,46.79176886,-88.50336387,47.27069645,108.8318003,27.69513798,9911.044678,245.7135348,-149.6977661,395.4113009,115.1340342,-33.29434954,169.7056505,-84.95663601,902.3363995,107.6938239,47.17345598,28.59921156,304.6544021,156.3718791,242.6596583,217.1261498
Carex_diandra|CAL|spm00000840|Heleoglochin,57.7142646,8.436530717,52.22328042,75.78324515,27.09567901,7202.60291,201.4819224,-79.6686067,281.1505291,117.0101411,1.634832451,146.0319224,-38.60185185,729.9683422,87.2164903,38.41481481,27.00202822,244.7822751,125.1315697,213.8449735,162.0399471
Carex_diastena|NA|spm00006010|Glareosae,53.45785,141.9728,-11,81,18,12878,201,-244,445,100,-162,145,-183,642,84,31,34,242,98,185,116
Carex_digitata|ITA|spm00000569|Clandestinae,59.17587558,16.04538174,52.819808,72.18168267,25.13958619,7389.296524,205.6619164,-77.28901079,282.9509272,124.8818794,-1.451076263,149.9380478,-39.62077396,685.4838113,83.62327828,34.57933337,28.08091348,232.8967265,113.1499016,209.0090036,146.1648679
Carex_diluta|TCS|spm00004364|Spirostachyae,36.53597047,59.84511623,74.43243243,117.6486486,31.58108108,8502.445946,261.6891892,-104.0405405,365.7297297,53.86486486,93.75675676,181.2432432,-38.68918919,439.4324324,84.63513514,8.945945946,67.10810811,218.7162162,34.27027027,57.40540541,123.9189189
Carex_dioica|GRB|spm00005178|Physoglochin,61.08814844,10.60687297,37.5007352,71.68600662,27.4275824,6805.796103,179.3036393,-86.89468202,266.1983213,88.09649553,2.661806151,127.4147776,-47.40399461,883.5066781,108.322387,45.20947188,28.53241024,300.8320059,146.3177919,235.0102929,219.0083323
Carex_disperma|ARK|spm00001652|Dispermae,59.25731558,-6.315893606,27.18306434,88.28211364,24.87884148,8962.972363,209.0042008,-139.7205395,348.7247402,119.3486624,-38.9887243,143.1879284,-87.90294053,642.9767853,83.08865797,32.02210922,31.54034933,227.8547424,103.8085342,208.4260447,131.6241433
Carex_distachya|SPA|spm00000588|Schiedeanae,40.55046564,2.465827053,139.8723976,92.79314976,35.70584285,5671.784419,283.3391538,28.16789792,255.1712559,113.8347884,203.4284755,215.208865,71.0241773,661.7703156,92.94828744,16.26192075,42.71994627,249.578912,75.08797851,86.26460712,209.8260578
Carex_distans|GRC|spm00000844|Spirostachyae,52.78252682,6.630634479,89.84619326,66.4003484,29.48601291,5618.947843,209.6549851,-12.30423199,221.9592171,110.8188339,62.95399119,162.1376166,20.33087406,809.3098678,93.04662363,42.82006353,24.19612665,263.7687263,141.509376,204.4138744,196.5653243
Carex_disticha|ONT|spm00005395|Holarrhenae,54.83679904,9.237070377,81.58544568,66.0235376,28.04665738,5926.598747,204.2344708,-28.39178273,232.6262535,113.9584262,33.33551532,157.7041783,7.735027855,695.6390669,74.88864903,38.86601671,20.32165738,214.4604457,127.7909471,191.5609331,152.2208217
Carex_divisa|MAN|spm00005374|Divisae,41.20994789,2.694561652,135.8948339,95.64907749,36.56568266,5676.890775,279.6398524,22.2601476,257.3797048,111.6645756,192.3808118,210.4900369,65.89261993,633.8254613,86.71217712,20.40664207,39.56088561,232.3276753,83.53431734,95.15313653,194.6284133
Carex_divulsa|FRA|spm00004390|Phaestoglochin,48.45328697,4.027936565,102.4709417,82.12584662,34.0584444,5619.407581,234.2424077,-3.987218702,238.2296264,105.341927,95.35132183,175.1071663,31.62977933,730.1303255,80.40332095,41.81155779,19.61492244,223.8151628,140.1203845,171.7227442,189.0956959
Carex_doniana|CHS|spm00000047|Molliculae,31.84281603,134.3079918,149.5824916,87.52861953,32.02693603,6826.814815,290.9427609,5.222222222,285.7205387,219.03367,66.44444444,236.9191919,62.25252525,1792.164983,253.8417508,60.35690236,46.23232323,678.0606061,201.96633,635.7373737,215.3232323
Carex_douglasii|COL|spm00005243|Divisae,40.38945311,-116.4015151,64.6539924,147.3631179,41.62737643,7151.846008,261.8536122,-91.87642586,353.730038,28.29087452,109.3479087,158.6463878,-22.56653992,504.769962,79.19011407,12.85171103,51.30228137,217.148289,49.39163498,75.06653992,191.1634981
Carex_drucei|NA|spm00004418|Uncinia,-41.49100757,172.7405966,88.54545455,85.63636364,45.54545455,3431.363636,187.7272727,1.181818182,186.5454545,63.09090909,115,131.8181818,43.45454545,2620.545455,270.3636364,139.3636364,17.45454545,786.6363636,498.4545455,504.9090909,762.0909091
Carex_durangensis|MXE|spm00000272|Vesicariae,24.20564667,-105.750369,121.6666667,131,59,3087,230.6666667,10.33333333,220.3333333,153.3333333,121.6666667,158,80.33333333,1194.333333,252.3333333,10.33333333,82,683.3333333,59.66666667,545.6666667,198
Carex_durieui|SPA|spm00004386|Unplaced_coreCarex,42.9928848,-7.563006126,128.8608696,79.64347826,40.82608696,3908.147826,236.1478261,43.46956522,192.6782609,94.50434783,178.4347826,181.0956522,81.33913043,1071.165217,146.7217391,34.20869565,37.56521739,398,131.3130435,147.5304348,357.8
Carex_duriuscula|ARK|spm00001653|Divisae,44.46512203,-100.0878739,44.45224719,143.4494382,34.32303371,9656.410112,261.1910112,-160.1432584,421.3342697,135.7359551,-40.68258427,167.2893258,-80.02247191,461.5196629,72.53370787,15.46910112,50.49719101,195.5449438,53.38202247,174.8398876,65.80617978
Carex_ebenea|ARI|spm00001870|Ovales,38.96689876,-106.6672382,2.245901639,147.6967213,39.98360656,7577.729508,195.4918033,-169.352459,364.8442623,49.10655738,2.647540984,101.0409836,-90.39344262,666.795082,76.55737705,35.68032787,22.37704918,208.1393443,126.6639344,185.2540984,156.8852459
Carex_eburnea|MIC|spm00000842|Albae,47.44155625,-89.95168788,43.92141454,109.6640472,26.6719057,10387.97839,247.5265226,-160.7328094,408.259332,130.4047151,-56.84675835,172.5579568,-94.05697446,814.4715128,92.93713163,44.12770138,26.36149312,258.5913556,148.9724951,243.740668,165.6581532
Carex_echinata|GRB|spm00005186|Stellulatae,57.80595189,7.651090875,58.96711749,68.45586821,28.60457663,6122.340235,188.8081533,-52.61092238,241.4190757,87.35375937,30.21896032,139.3204923,-17.16248958,957.221332,113.0945452,49.76142555,25.94083713,319.2933786,161.5909878,239.4337542,240.4385616
Carex_echinochloe|NA|spm00004701|Indicae,-1.886770041,31.48976276,184.5714286,124.7959184,74.30612245,1138.77551,269.5102041,101.6530612,167.8571429,186.8979592,177.2857143,197.3877551,168.5306122,1457.938776,255.4693878,22.02040816,68.46938776,668.0408163,95.95918367,362.7142857,340.8571429
Carex_echinodes|WIS|spm00002699|Ovales,45.69015255,-94.76132788,58.73809524,120.0238095,26.28571429,11558.59524,279,-173.3809524,452.3809524,188.3095238,-91.92857143,199.4285714,-98.92857143,660.8333333,92.61904762,21.78571429,47.42857143,260.047619,77.85714286,254.3333333,78.45238095
Carex_ecklonii|CPP|spm00004378|Spirostachyae,-34.04765765,20.27827824,165.2352941,93.11764706,54.58823529,2637,249.7647059,80.70588235,169.0588235,138.4117647,187.6470588,198.4117647,131.6470588,789.7647059,116.2352941,28.88235294,45.52941176,325.2941176,96.11764706,107.5294118,309.8823529
Carex_ecuadorensis|ECU|spm00005088|Uncinia,0.355979333,-78.336462,122.3333333,111,88.33333333,159,184.3333333,59.66666667,124.6666667,122.6666667,119.6666667,123.6666667,119.6666667,1083,148.6666667,24,43.33333333,401.6666667,98.66666667,384,98.66666667
Carex_edura|NZS|spm00002184|Uncinia,-44.42098576,169.4938928,70.8974359,84.26495726,45.61538462,3444.982906,168.7863248,-14.87179487,183.6581197,63.24786325,81.45299145,113.9145299,25.13675214,2130.57265,213.6239316,120.6581197,14.17948718,607.1196581,447.4871795,472.9401709,535.3760684
Carex_edwardsiana|TEX|spm00002142|Griseae,30.26205443,-97.850501,196.5714286,123.2857143,38.14285714,6923,352.1428571,32,320.1428571,235.2857143,119,282,104.1428571,826,112.1428571,40.57142857,31.85714286,275.5714286,156.5714286,184.7142857,160.4285714
Carex_egglestonii|CAL|spm00001702|Ovales,37.60728738,-104.3346967,18.63157895,156.6578947,41.42105263,7645.131579,218.7105263,-159.8157895,378.5263158,46.5,16.23684211,117.5526316,-76.76315789,587.3421053,66.52631579,31.28947368,21.13157895,183.7105263,112.7105263,157.4473684,135.8157895
Carex_egmontiana|NA|spm00004416|Uncinia,-39.90542199,160.6892384,92.22222222,88.66666667,45.66666667,3584.777778,193.0740741,0.555555556,192.5185185,71.66666667,103.1851852,136.962963,44.40740741,1910.111111,195.5185185,106.3333333,15.85185185,563.2962963,379.037037,393.6296296,532.1111111
Carex_eleusinoides|ARK|spm00001623|Phacocystis,64.96420288,-92.58325211,-77.21333333,100.3866667,21.32,13149.52,167.72,-295.9733333,463.6933333,84.78666667,-149.2666667,93.42666667,-237.6533333,350.2266667,64.30666667,13.33333333,57.36,160.3733333,46.12,149.6933333,58.4
Carex_elgonensis|UGA|spm00000189|Spirostachyae,0.309943857,35.32797857,145.8571429,139.5714286,83.71428571,680.4285714,234.7857143,69.21428571,165.5714286,145.2857143,147.0714286,154,136.6428571,1357.714286,215.4285714,36.85714286,51.07142857,521.5,153.7857143,352.5,362.7142857
Carex_elliottii|FLA|spm00001916|Vesicariae,30.74606219,-82.62574584,195.6451613,125.9354839,44.16129032,5846.774194,328.3870968,45.32258065,283.0645161,260.3870968,159.0967742,266.6451613,117.3870968,1372.645161,184.3870968,66.93548387,33.25806452,506.3548387,228.8709677,499.0967742,287.0967742
Carex_elongata|NA|spm00005946|Elongatae,56.84219408,13.47366076,68.58565053,72.08046687,27.30271198,6770.193889,210.4961895,-52.17947134,262.6756608,135.9755578,14.31527635,156.85678,-16.19848953,677.9864744,76.70628218,36.48266392,23.59059389,217.4520426,119.7314796,203.2992104,149.1925163
Carex_emoryi|DEL|spm00000885|Phacocystis,41.28024129,-91.35124631,93.27222222,126.3833333,31.16111111,9579.672222,292.7,-109.4388889,402.1388889,170.2666667,-10.64444444,212.8,-34.54444444,844.1722222,107.2888889,35.93333333,36.21666667,293.3277778,125.1277778,263.5888889,134.1888889
Carex_endlichii|ARI|spm00002095|Phacocystis,25.454492,-104.9316475,146.5,164,59.4,3851.8,282.7,4.1,278.6,185.8,126.9,192.7,96.1,913.1,217.7,11.4,98.4,560.2,46.5,407.7,89.1
Carex_engelmannii|BRC|spm00002131|Inflatae,45.81189406,-116.6219798,12,114.3888889,35,7139.833333,189.3888889,-131.5,320.8888889,-47.16666667,69.22222222,104.9166667,-75.66666667,948.8888889,135.9722222,35.30555556,34.11111111,384.75,126.7222222,142.6111111,355.4444444
Carex_erebus|NA|spm00004424|Uncinia,-53.25688052,162.7416876,53.83333333,44.81666667,49.73333333,1619.9,100.45,12.7,87.75,63.18333333,35.75,75.13333333,34.08333333,1123.833333,110.2166667,81.68333333,9.7,317.0833333,255.8166667,301.1833333,260.2833333
Carex_ericetorum|ITA|spm00000551|Acrocystis,56.87339334,15.42112101,56.82385616,74.99079082,26.58661014,7212.5717,207.4158749,-71.79096623,279.2068411,135.1669347,-2.966671539,150.7121766,-34.09179944,684.9133168,82.2360766,36.04663061,26.53705599,231.4205526,117.2328607,217.6871802,142.3546265
Carex_erinacea|CLC|spm00005214|Uncinia,-33.68082086,-72.41615171,121.1428571,122.2857143,58.14285714,3124.428571,247.1428571,34.42857143,212.7142857,87.71428571,160.1428571,162,82,1461.857143,248.8571429,34,66,700.2857143,124.7142857,181.2857143,616.5714286
Carex_erythrorrhiza|ETH|spm00000191|Stenorhynchae,0.864,30.4526666,167.8,109.8,82.4,499.4,235.2,100.6,134.6,167.8,163.2,173,161.6,1566.8,220,26.4,56.2,596,123.8,425.6,200.8
Carex_erythrovaginata|NZ?|spm00005096|Uncinia,-39.64137959,174.1616517,117.7209302,87.46511628,46.13953488,3408.046512,215.8837209,28.65116279,187.2325581,84.60465116,145.1860465,160.7674419,73.04651163,1575.813953,168.6744186,90.81395349,17.76744186,481.6744186,313.9767442,325.4651163,472.3953488
Carex_esenbeckii|EHM|spm00005193|Kobresia,27.92877429,90.11840883,102.1666667,110.2083333,44.875,4862.125,208.75,-35.5,244.25,141.3333333,50.04166667,157.6666667,34.91666667,1123.333333,265,7.75,90.5,680.1666667,44.58333333,639.3333333,64.54166667
Carex_exilis|DEL|spm00000887|Stellulatae,47.93302137,-71.36079104,26.69411765,100.5686275,24.79607843,10252.60392,222.0509804,-179.3137255,401.3647059,94.65882353,-28.45098039,152.8235294,-110.8901961,1018.588235,115.1607843,57.04705882,23.47843137,327.2117647,189.4941176,288.1411765,223.627451
Carex_exsiccata|BRC|spm00001976|Vesicariae,44.9199537,-122.9455274,87.58918919,109.5027027,44.18378378,4984.254054,231.7783784,-18.64864865,250.427027,38.8,143.2864865,152.9351351,27.19459459,1391.232432,232.3027027,21.55135135,63.32432432,656.0702703,93.3027027,105.8864865,612.8108108
Carex_extensa|VRG|spm00001853|Spirostachyae,53.80690124,6.40811275,88.7592827,64.1943038,29.65379747,5500.493882,206.5824895,-10.69409283,217.2765823,113.1219409,66.79767932,160.5968354,21.76708861,811.6837553,95.18966245,40.9907173,26.62088608,269.6116034,136.049789,195.9206751,209.6360759
Carex_fecunda|BOL|spm00005222|Fecundae,-18.16139772,-67.96599692,158.56,143.76,67.4,2183.24,255.24,38.6,216.64,179.72,130,181.64,127.28,845.56,155.96,12.12,76.76,429.84,46.64,362.28,50.88
Carex_fedia|PAK|spm00003461|Carex,31.45012727,77.26123636,139.6363636,111.2727273,36.45454545,6757.636364,291.1818182,-17.72727273,308.9090909,121.2727273,143.8181818,221.4545455,47,1051.363636,222.9090909,14,75.09090909,567.0909091,59.54545455,293.0909091,151.1818182
Carex_festucacea|TEX|spm00000892|Ovales,38.65834335,-85.41005985,120.7894737,121.2163743,32.34502924,8826.701754,304.877193,-66.71345029,371.5906433,145.9590643,40.66666667,230.7192982,2.245614035,1126.368421,123.877193,62.95321637,20.58479532,341.0409357,212.6315789,298.8304094,232.5672515
Carex_feta|CAL|spm00000893|Ovales,40.28237656,-121.5077713,105.1721068,142.578635,45.69139466,5884.688427,286.7596439,-22.15133531,308.9109792,39.99406528,181.0267062,183.0237389,35.76557864,1054.961424,192.0890208,7.059347181,75.23145401,525.8813056,39.10682493,45.21661721,511.4302671
Carex_filicina|PAK|183073|Indicae,18.38774817,116.9629352,159.3074074,85.84444444,50.36666667,3451.62963,244.1925926,61.52962963,182.662963,191.9925926,123.5888889,198.9037037,111.8037037,2379.651852,373.4962963,75.33333333,57.41111111,1024.937037,252.9407407,928.2592593,299.3481481
Carex_filifolia|MAN|spm00005150|Filifoliae,43.93773599,-116.507133,37.12372881,134.7864407,37.30847458,8106.598305,236.8779661,-131.3881356,368.2661017,51.17966102,35.63898305,142.2627119,-63.36779661,547.6728814,90.29322034,14.20169492,55.20338983,243.3457627,51.17457627,109.7305085,181.9542373
Carex_filipes|CHM|spm00003462|Paniceae,35.39156919,137.8290591,125.1708861,94.80379747,28.91772152,7897.531646,285.5759494,-37.46202532,323.0379747,215.8924051,30.37974684,226.6835443,24.7278481,1662.183544,234.4367089,52.53164557,46.81012658,640.1139241,178.0126582,623.5189873,182.7594937
Carex_filispica|CHC|spm00003398|Kobresia,25.21732133,100.585066,147.6666667,114,48,4242,241.6666667,7.333333333,234.3333333,194.3333333,91.33333333,194.3333333,87.66666667,1149.666667,258,8.666666667,92.66666667,688.6666667,33.66666667,688.6666667,33.66666667
Carex_fimbriata|SWI|spm00000552|Aulocystis,44.73543748,6.29415336,18.52,70.44,29.68,5662.12,144.88,-87.28,232.16,-20.56,80.32,91.64,-50.12,1520.36,148.56,101.04,12.56,417.92,330.56,343.56,403.84
Carex_finitima|CHC|spm00005719|Debiles,16.49989191,118.0792321,140.8,95.27692308,55.36923077,3331.876923,225.4923077,37.52307692,187.9692308,177.0153846,99.32307692,179.2153846,94.53846154,2200.723077,352.8769231,68.96923077,63.36923077,962.9230769,227.4615385,924.8153846,245.0461538
Carex_firma|ITA|spm00000520|Aulocystis,47.43144592,11.64525519,50.68656716,87.76716418,31.98208955,6470.301493,191.5492537,-78.51343284,270.0626866,124.1104478,-17.75522388,131.3044776,-34.02985075,1138.755224,145.5492537,62.16119403,30.47462687,415.7791045,201.0567164,412.7074627,210.4268657
Carex_firmula|ECU|spm00005111|Uncinia,-14.45444854,-76.79862692,109.9583333,97.35416667,73.39583333,1351.583333,183.4375,45.75,137.6875,105.9166667,111.4583333,125.8958333,91.5,1807.583333,235.6458333,76.39583333,35.1875,653.6666667,260.4791667,421.1041667,466.6041667
Carex_fischeri|ETH|spm00004352|Spirostachyae,2.773756667,35.50835178,131.1111111,124.2222222,80.44444444,717.6666667,211.7777778,56.55555556,155.2222222,127.7777778,127.7777778,140.6666667,122.1111111,1355.222222,226.6666667,37.22222222,58.11111111,561.5555556,148.6666667,341.8888889,266.7777778
Carex_fissa|FLA|spm00005400|Multiflorae,31.48118248,-85.17897158,190.0869565,123.3768116,42.52173913,6181.014493,329.173913,34.71014493,294.4637681,251.6376812,131.3333333,265.173913,106.8115942,1234.565217,172.0434783,52.49275362,38.57971014,475.8550725,182.1884058,458.2753623,220.3333333
Carex_fissiglumis|EHM|spm00005904|Kobresia,28.491111,98.939722,54,109,43,5237,167,-84,251,118,-3,118,-15,741,164,7,83,416,28,416,31
Carex_fissuricola|IDA|spm00002117|Aulocystis,37.57181143,-118.9935338,26.58394161,123.8175182,42.8540146,5692.379562,191.5985401,-93.69343066,285.2919708,-29.2919708,98.33576642,104.4306569,-36.00729927,717.0291971,121.8540146,15.23357664,63.72992701,328.5036496,54.73722628,65.13138686,320.3868613
